Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Multiple sclerosis	Schizophrenia 1	340	295	diseases of the nervous system and sense organs	mental disorders	Multiple sclerosis	Schizophrenia	0.299963096040751	7.00068644182352e-30	2.883131246753e-29	FALSE	Multiple sclerosis _ Schizophrenia	295 _ 340	dm	FALSE	TRUE
Sessile serrated polyps	Smoker 1	211	305	neoplasms	mental disorders	Sessile serrated polyps	Smoker	0.29808810727193	7.68274310934526e-92	7.36467156582995e-91	TRUE	Sessile serrated polyps _ Smoker	211 _ 305	dm	TRUE	TRUE
Papillary thyroid cancer	Parkinson's disease 5	193	332	neoplasms	diseases of the nervous system and sense organs	Papillary thyroid cancer	Parkinson's disease	0.296973844149297	2.39786662561386e-110	2.79705692180981e-109	FALSE	Papillary thyroid cancer _ Parkinson's disease	193 _ 332	dm	FALSE	TRUE
Familial pulmonary arterial hypertension	Ischemia 2	416	414	diseases of the circulatory system	diseases of the circulatory system	Familial pulmonary arterial hypertension	Ischemia	0.296857298060559	0.0249367214959492	0.03487403898582	TRUE	Familial pulmonary arterial hypertension _ Ischemia	414 _ 416	dm	TRUE	TRUE
Down syndrome	Autism 2	758	299	congenital anomalies	mental disorders	Down syndrome	Autism	0.292787716571054	0.0270907147182637	0.0377151247626099	TRUE	Autism _ Down syndrome	299 _ 758	dm	TRUE	TRUE
Smoker	Parkinson's disease 5	305	332	mental disorders	diseases of the nervous system and sense organs	Smoker	Parkinson's disease	0.292098459245387	8.32253502765978e-94	8.17519828315097e-93	FALSE	Parkinson's disease _ Smoker	305 _ 332	dm	FALSE	FALSE
Coeliac disease	Down syndrome 1	579	758	diseases of the digestive system	congenital anomalies	Coeliac disease	Down syndrome	0.290720561037784	0.0208060736765893	0.0294145777055236	FALSE	Coeliac disease _ Down syndrome	579 _ 758	dm	FALSE	TRUE
Ulcerative colitis	Chronic obstructive pulmonary disease 2	556	496	diseases of the digestive system	diseases of the respiratory system	Ulcerative colitis	Chronic obstructive pulmonary disease	0.290561891324143	6.14992001593987e-232	1.53972997472251e-230	TRUE	Chronic obstructive pulmonary disease _ Ulcerative colitis	496 _ 556	dm	TRUE	TRUE
Down syndrome	Smoker 1	758	305	congenital anomalies	mental disorders	Down syndrome	Smoker	0.287749499834034	3.02173892119041e-44	1.59476349748172e-43	FALSE	Down syndrome _ Smoker	305 _ 758	dm	FALSE	FALSE
Lymphocytic colitis	Coeliac disease 1	558	579	diseases of the digestive system	diseases of the digestive system	Lymphocytic colitis	Coeliac disease	0.28652075435497	0.0115273540756831	0.0167682980047549	TRUE	Coeliac disease _ Lymphocytic colitis	558 _ 579	dm	TRUE	TRUE
