Dis1	Dis2	Dis1_icd9	Dis2_icd9	Dis1_discat	Dis2_discat	Corr_Dis1	Corr_Dis2	Distance	pvalue	adj_pvalue	in_epidem	pairs	icd_pairs	interaction_type	in_phi	in_literature
Ulcer	Coeliac disease 1	569	579	diseases of the digestive system	diseases of the digestive system	Ulcer	Coeliac disease	0.0608203303511547	2.2460246620467e-05	4.05786620520553e-05	TRUE	Coeliac disease _ Ulcer	569 _ 579	dm	TRUE	TRUE
Schizophrenia	Sessile serrated polyps	295	211	mental disorders	neoplasms	Schizophrenia	Sessile serrated polyps	0.0596207988916647	0.00100989713079411	0.00161389632292707	FALSE	Schizophrenia _ Sessile serrated polyps	211 _ 295	dd	FALSE	FALSE
Parkinson's disease	Post-traumatic stress disorder 1	332	309	diseases of the nervous system and sense organs	mental disorders	Parkinson's disease	Post-traumatic stress disorder	0.0574810620012587	0.000113887658970428	0.000196562727083892	TRUE	Parkinson's disease _ Post-traumatic stress disorder	309 _ 332	dm	TRUE	TRUE
Colorectal cancer	Friedreich's ataxia 2	153	334	neoplasms	diseases of the nervous system and sense organs	Colorectal cancer	Friedreich's ataxia	0.0574011745696546	4.3902442406599e-05	7.77332593883119e-05	FALSE	Colorectal cancer _ Friedreich's ataxia	153 _ 334	dm	FALSE	FALSE
Ulcerative colitis	Down syndrome 1	556	758	diseases of the digestive system	congenital anomalies	Ulcerative colitis	Down syndrome	0.0573959819780281	1.24332354470232e-06	2.42752566550059e-06	FALSE	Down syndrome _ Ulcerative colitis	556 _ 758	dm	TRUE	TRUE
Borrelia burgdorferi infection	Amyotrophic lateral sclerosis 2	88	335	infectious and parasitic diseases	diseases of the nervous system and sense organs	Borrelia burgdorferi infection	Amyotrophic lateral sclerosis	0.0564889802011256	0.000104232094065905	0.000180428742931958	TRUE	Amyotrophic lateral sclerosis _ Borrelia burgdorferi infection	88 _ 335	dm	TRUE	TRUE
Human immunodeficiency virus infection	Eosinophilic esophagitis	42	530	infectious and parasitic diseases	diseases of the digestive system	Human immunodeficiency virus infection	Eosinophilic esophagitis	0.0553670204299691	8.45410143297513e-05	0.000147211791703969	TRUE	Eosinophilic esophagitis _ Human immunodeficiency virus infection	42 _ 530	dd	TRUE	TRUE
Ischemia	Smoker 1	414	305	diseases of the circulatory system	mental disorders	Ischemia	Smoker	0.0553539900008399	0.00881351261299796	0.0129831198716705	TRUE	Ischemia _ Smoker	305 _ 414	dm	TRUE	TRUE
Eosinophilic esophagitis	Autism 1	530	299	diseases of the digestive system	mental disorders	Eosinophilic esophagitis	Autism	0.0550625973890849	9.14520848712476e-05	0.000158886711064038	FALSE	Autism _ Eosinophilic esophagitis	299 _ 530	dm	TRUE	TRUE
Coeliac disease	Kaposi's sarcoma 2	579	176	diseases of the digestive system	neoplasms	Coeliac disease	Kaposi's sarcoma	0.0547166474887167	0.000719802168613234	0.00116557422281817	FALSE	Coeliac disease _ Kaposi's sarcoma	176 _ 579	dm	TRUE	TRUE
Cardiomyopathy	Borrelia burgdorferi infection 2	425	88	diseases of the circulatory system	infectious and parasitic diseases	Cardiomyopathy	Borrelia burgdorferi infection	0.0545013331295981	1.58721409731874e-05	2.89563140562385e-05	FALSE	Borrelia burgdorferi infection _ Cardiomyopathy	88 _ 425	dm	FALSE	TRUE
Ulcerative colitis	Hyperplastic polyps 4	556	211	diseases of the digestive system	neoplasms	Ulcerative colitis	Hyperplastic polyps	0.0541889404486315	8.14644823775415e-08	1.69220825282724e-07	TRUE	Hyperplastic polyps _ Ulcerative colitis	211 _ 556	dm	TRUE	TRUE
Down syndrome	Papillary thyroid cancer 3	758	193	congenital anomalies	neoplasms	Down syndrome	Papillary thyroid cancer	0.0541809877061767	0.0111219705534167	0.0162169073481282	FALSE	Down syndrome _ Papillary thyroid cancer	193 _ 758	dm	TRUE	TRUE
Kaposi's sarcoma	Familial pulmonary arterial hypertension 1	176	416	neoplasms	diseases of the circulatory system	Kaposi's sarcoma	Familial pulmonary arterial hypertension	0.0541251126081879	0.031776578459136	0.0438177424672157	TRUE	Familial pulmonary arterial hypertension _ Kaposi's sarcoma	176 _ 416	dm	TRUE	TRUE
Glioblastoma	Hyperplastic polyps 4	191	211	neoplasms	neoplasms	Glioblastoma	Hyperplastic polyps	0.0537136484282365	1.61387043465345e-08	3.47850498933703e-08	FALSE	Glioblastoma _ Hyperplastic polyps	191 _ 211	dm	FALSE	TRUE
Familial pulmonary arterial hypertension	Adenomatous polyps 2	416	211	diseases of the circulatory system	neoplasms	Familial pulmonary arterial hypertension	Adenomatous polyps	0.0533201325131084	0.000988587190381527	0.0015808668065844	TRUE	Adenomatous polyps _ Familial pulmonary arterial hypertension	211 _ 416	dm	TRUE	TRUE
Down syndrome	Cardiomyopathy 2	758	425	congenital anomalies	diseases of the circulatory system	Down syndrome	Cardiomyopathy	0.0525232336918841	0.0208920653668352	0.0295259822382602	FALSE	Cardiomyopathy _ Down syndrome	425 _ 758	dm	FALSE	TRUE
Crohn's disease	Muscular dystrophy 4	555	359	diseases of the digestive system	diseases of the nervous system and sense organs	Crohn's disease	Muscular dystrophy	0.0524347168024841	1.14320537319471e-06	2.23665879717478e-06	TRUE	Crohn's disease _ Muscular dystrophy	359 _ 555	dm	TRUE	TRUE
Facioscapulohumeral muscular dystrophy	Kaposi's sarcoma 2	359	176	diseases of the nervous system and sense organs	neoplasms	Facioscapulohumeral muscular dystrophy	Kaposi's sarcoma	0.0508543998211617	0.00167291743540969	0.00262877879440957	TRUE	Facioscapulohumeral muscular dystrophy _ Kaposi's sarcoma	176 _ 359	dm	TRUE	TRUE
Ulcerative colitis	Liver cancer 2	556	155	diseases of the digestive system	neoplasms	Ulcerative colitis	Liver cancer	0.0496070941137718	3.97369384078692e-07	7.95901800501028e-07	FALSE	Liver cancer _ Ulcerative colitis	155 _ 556	dm	TRUE	TRUE
Smoker	Crohn's disease 2	305	555	mental disorders	diseases of the digestive system	Smoker	Crohn's disease	0.0495235780283011	1.99220471889725e-06	3.84759763677899e-06	FALSE	Crohn's disease _ Smoker	305 _ 555	dm	TRUE	TRUE
Parkinson's disease	Muscular dystrophy 4	332	359	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Parkinson's disease	Muscular dystrophy	0.0488659824102633	0.0010347634877572	0.00165192024911783	TRUE	Muscular dystrophy _ Parkinson's disease	332 _ 359	dm	TRUE	TRUE
Chronic obstructive pulmonary disease	Human immunodeficiency virus infection 1	496	42	diseases of the respiratory system	infectious and parasitic diseases	Chronic obstructive pulmonary disease	Human immunodeficiency virus infection	0.047835451418177	1.70128376668024e-05	3.09822788852265e-05	FALSE	Chronic obstructive pulmonary disease _ Human immunodeficiency virus infection	42 _ 496	dm	TRUE	TRUE
Sessile serrated polyps	Borrelia burgdorferi infection 2	211	88	neoplasms	infectious and parasitic diseases	Sessile serrated polyps	Borrelia burgdorferi infection	0.0471476060358773	3.16389870008684e-05	5.65973049486925e-05	FALSE	Borrelia burgdorferi infection _ Sessile serrated polyps	88 _ 211	dm	TRUE	TRUE
Keratoconus	Familial dysautonomia 2	371	742	diseases of the nervous system and sense organs	congenital anomalies	Keratoconus	Familial dysautonomia	0.046919836668566	0.0286959058862696	0.0398058748543997	FALSE	Familial dysautonomia _ Keratoconus	371 _ 742	dm	FALSE	FALSE
Hyperplastic polyps	Crohn's disease 2	211	555	neoplasms	diseases of the digestive system	Hyperplastic polyps	Crohn's disease	0.0461519406058594	1.94568603527233e-06	3.76070305703507e-06	TRUE	Crohn's disease _ Hyperplastic polyps	211 _ 555	dm	TRUE	TRUE
Sessile serrated polyps	Chronic lymphocytic leukemia 1	211	204	neoplasms	neoplasms	Sessile serrated polyps	Chronic lymphocytic leukemia	0.0458622217206009	0.00512204513917966	0.00771784122622814	FALSE	Chronic lymphocytic leukemia _ Sessile serrated polyps	204 _ 211	dm	FALSE	FALSE
Friedreich's ataxia	Human immunodeficiency virus infection 1	334	42	diseases of the nervous system and sense organs	infectious and parasitic diseases	Friedreich's ataxia	Human immunodeficiency virus infection	0.0451471702358139	0.0142098566703251	0.020491338616842	FALSE	Friedreich's ataxia _ Human immunodeficiency virus infection	42 _ 334	dm	TRUE	TRUE
Ulcerative colitis	Asthma 2	556	493	diseases of the digestive system	diseases of the respiratory system	Ulcerative colitis	Asthma	0.0447562561824306	0.000109973051767005	0.000190099361726911	TRUE	Asthma _ Ulcerative colitis	493 _ 556	dm	TRUE	TRUE
Borrelia burgdorferi infection	Hyperplastic polyps 1	88	211	infectious and parasitic diseases	neoplasms	Borrelia burgdorferi infection	Hyperplastic polyps	0.0442653181623961	0.000121460450916729	0.000209193209506749	FALSE	Borrelia burgdorferi infection _ Hyperplastic polyps	88 _ 211	dm	TRUE	TRUE
Kaposi's sarcoma	Smoker 2	176	305	neoplasms	mental disorders	Kaposi's sarcoma	Smoker	0.0435113308156578	0.0300190123927696	0.0415570009725934	FALSE	Kaposi's sarcoma _ Smoker	176 _ 305	dm	FALSE	FALSE
Parkinson's disease	Lung cancer 1	332	162	diseases of the nervous system and sense organs	neoplasms	Parkinson's disease	Lung cancer	0.0434830627126838	1.43748119598715e-05	2.62752535571593e-05	FALSE	Lung cancer _ Parkinson's disease	162 _ 332	dm	FALSE	FALSE
Borrelia burgdorferi infection	Facioscapulohumeral muscular dystrophy 2	88	359	infectious and parasitic diseases	diseases of the nervous system and sense organs	Borrelia burgdorferi infection	Facioscapulohumeral muscular dystrophy	0.043458216428944	0.00298000235978754	0.00459477645110313	TRUE	Borrelia burgdorferi infection _ Facioscapulohumeral muscular dystrophy	88 _ 359	dm	TRUE	TRUE
Chronic obstructive pulmonary disease	Kaposi's sarcoma 1	496	176	diseases of the respiratory system	neoplasms	Chronic obstructive pulmonary disease	Kaposi's sarcoma	0.0433428163263104	3.8632853248119e-05	6.86992184654728e-05	TRUE	Chronic obstructive pulmonary disease _ Kaposi's sarcoma	176 _ 496	dm	TRUE	TRUE
Sessile serrated polyps	Glioblastoma 2	211	191	neoplasms	neoplasms	Sessile serrated polyps	Glioblastoma	0.0426922993739133	2.89034344295593e-05	5.17639583168525e-05	FALSE	Glioblastoma _ Sessile serrated polyps	191 _ 211	dm	FALSE	TRUE
Liver cancer	Myotonic dystrophy 1	155	359	neoplasms	diseases of the nervous system and sense organs	Liver cancer	Myotonic dystrophy	0.0425958727029934	0.000425791888270271	0.000703353155385973	FALSE	Liver cancer _ Myotonic dystrophy	155 _ 359	dm	TRUE	TRUE
Sessile serrated polyps	Keratoconus 1	211	371	neoplasms	diseases of the nervous system and sense organs	Sessile serrated polyps	Keratoconus	0.0420820162653231	0.0274142156359415	0.0381353256017535	FALSE	Keratoconus _ Sessile serrated polyps	211 _ 371	dm	FALSE	FALSE
Parkinson's disease	Amyotrophic lateral sclerosis 1	332	335	diseases of the nervous system and sense organs	diseases of the nervous system and sense organs	Parkinson's disease	Amyotrophic lateral sclerosis	0.0418950752883642	0.00401142727302113	0.00610260110523333	TRUE	Amyotrophic lateral sclerosis _ Parkinson's disease	332 _ 335	dm	TRUE	TRUE
Smoker	Chronic obstructive pulmonary disease 1	305	496	mental disorders	diseases of the respiratory system	Smoker	Chronic obstructive pulmonary disease	0.0417757719541639	0.000299507113387185	0.000500383646101092	TRUE	Chronic obstructive pulmonary disease _ Smoker	305 _ 496	dm	TRUE	TRUE
Chronic lymphocytic leukemia	Friedreich's ataxia 1	204	334	neoplasms	diseases of the nervous system and sense organs	Chronic lymphocytic leukemia	Friedreich's ataxia	0.041629545341922	0.0104044629626864	0.0152049086219446	FALSE	Chronic lymphocytic leukemia _ Friedreich's ataxia	204 _ 334	dm	FALSE	FALSE
Sessile serrated polyps	Autism 2	211	299	neoplasms	mental disorders	Sessile serrated polyps	Autism	0.0409842100127515	0.0309781209331621	0.0427933714987878	FALSE	Autism _ Sessile serrated polyps	211 _ 299	dm	TRUE	TRUE
Sessile serrated polyps	Lung cancer 1	211	162	neoplasms	neoplasms	Sessile serrated polyps	Lung cancer	0.0408627683075776	0.000103796888476981	0.000179700642622552	FALSE	Lung cancer _ Sessile serrated polyps	162 _ 211	dm	FALSE	FALSE
Asthma	Liver cancer 2	493	155	diseases of the respiratory system	neoplasms	Asthma	Liver cancer	0.0407343432447121	0.000433319019498635	0.00071540325454821	FALSE	Asthma _ Liver cancer	155 _ 493	dm	FALSE	FALSE
Prostate cancer	Ulcerative colitis 1	185	556	neoplasms	diseases of the digestive system	Prostate cancer	Ulcerative colitis	0.040427782447418	0.000987584560518037	0.00157946852979242	FALSE	Prostate cancer _ Ulcerative colitis	185 _ 556	dm	FALSE	TRUE
Eosinophilic esophagitis	Liver cancer 1	530	155	diseases of the digestive system	neoplasms	Eosinophilic esophagitis	Liver cancer	0.0402242737188507	7.21587043063479e-05	0.000126131817744515	TRUE	Eosinophilic esophagitis _ Liver cancer	155 _ 530	dm	TRUE	TRUE
Sessile serrated polyps	Post-traumatic stress disorder 1	211	309	neoplasms	mental disorders	Sessile serrated polyps	Post-traumatic stress disorder	0.0400777632403415	0.035724084753577	0.0488780713089594	TRUE	Post-traumatic stress disorder _ Sessile serrated polyps	211 _ 309	dm	TRUE	TRUE
Crohn's disease	Post-traumatic stress disorder 1	555	309	diseases of the digestive system	mental disorders	Crohn's disease	Post-traumatic stress disorder	0.0393729414403601	0.000260021776738142	0.000436547396191962	TRUE	Crohn's disease _ Post-traumatic stress disorder	309 _ 555	dm	TRUE	TRUE
Borrelia burgdorferi infection	Multiple sclerosis 2	88	340	infectious and parasitic diseases	diseases of the nervous system and sense organs	Borrelia burgdorferi infection	Multiple sclerosis	0.0393393998389675	0.00541016187379605	0.00812811000871079	TRUE	Borrelia burgdorferi infection _ Multiple sclerosis	88 _ 340	dm	TRUE	TRUE
Borrelia burgdorferi infection	Autism 2	88	299	infectious and parasitic diseases	mental disorders	Borrelia burgdorferi infection	Autism	0.0388594731887803	0.00777204958183638	0.0115056782023237	FALSE	Autism _ Borrelia burgdorferi infection	88 _ 299	dm	FALSE	FALSE
Colorectal cancer	Asthma 5	153	493	neoplasms	diseases of the respiratory system	Colorectal cancer	Asthma	0.0387316913264808	0.0203186694359829	0.0287585166163894	FALSE	Asthma _ Colorectal cancer	153 _ 493	dm	FALSE	TRUE
Lung cancer	Kaposi's sarcoma 2	162	176	neoplasms	neoplasms	Lung cancer	Kaposi's sarcoma	0.0385927645009285	0.000228874283965537	0.000386360618046797	TRUE	Kaposi's sarcoma _ Lung cancer	162 _ 176	dm	TRUE	TRUE
Sessile serrated polyps	Kaposi's sarcoma 2	211	176	neoplasms	neoplasms	Sessile serrated polyps	Kaposi's sarcoma	0.0384865984772019	0.00349626341179771	0.00535259417182752	TRUE	Kaposi's sarcoma _ Sessile serrated polyps	176 _ 211	dm	TRUE	TRUE
Familial dysautonomia	Ulcer 1	742	569	congenital anomalies	diseases of the digestive system	Familial dysautonomia	Ulcer	0.0384664020856647	0.0114082786376101	0.0166107773354706	TRUE	Familial dysautonomia _ Ulcer	569 _ 742	dm	TRUE	TRUE
Liver cancer	Facioscapulohumeral muscular dystrophy 1	155	359	neoplasms	diseases of the nervous system and sense organs	Liver cancer	Facioscapulohumeral muscular dystrophy	0.0384454254099904	0.00147293516029906	0.00232193694709033	FALSE	Facioscapulohumeral muscular dystrophy _ Liver cancer	155 _ 359	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Colorectal cancer 2	516	153	diseases of the respiratory system	neoplasms	Idiopathic pulmonary fibrosis	Colorectal cancer	0.0375958422655136	0.00163095894723168	0.00256480943597597	FALSE	Colorectal cancer _ Idiopathic pulmonary fibrosis	153 _ 516	dm	FALSE	TRUE
Schizophrenia	Idiopathic pulmonary fibrosis 1	295	516	mental disorders	diseases of the respiratory system	Schizophrenia	Idiopathic pulmonary fibrosis	0.0373595127580634	0.000821276974704015	0.00132258985153668	FALSE	Idiopathic pulmonary fibrosis _ Schizophrenia	295 _ 516	dm	FALSE	FALSE
Lung cancer	Multiple sclerosis 1	162	340	neoplasms	diseases of the nervous system and sense organs	Lung cancer	Multiple sclerosis	0.0360951094403398	0.00118323111917041	0.00188065044205691	FALSE	Lung cancer _ Multiple sclerosis	162 _ 340	dm	FALSE	TRUE
Liver cancer	Keratoconus 1	155	371	neoplasms	diseases of the nervous system and sense organs	Liver cancer	Keratoconus	0.0358516046213562	0.00302198252246207	0.00465600759370705	FALSE	Keratoconus _ Liver cancer	155 _ 371	dm	FALSE	FALSE
Hyperplastic polyps	Keratoconus 1	211	371	neoplasms	diseases of the nervous system and sense organs	Hyperplastic polyps	Keratoconus	0.0353730960727071	0.0205375457144915	0.0290582917655762	FALSE	Hyperplastic polyps _ Keratoconus	211 _ 371	dm	FALSE	FALSE
Friedreich's ataxia	Schizophrenia 1	334	295	diseases of the nervous system and sense organs	mental disorders	Friedreich's ataxia	Schizophrenia	0.0351526263625671	0.035115498980066	0.0481095224598435	FALSE	Friedreich's ataxia _ Schizophrenia	295 _ 334	dm	TRUE	TRUE
Prostate cancer	Huntington's disease 1	185	333	neoplasms	diseases of the nervous system and sense organs	Prostate cancer	Huntington's disease	0.0351435245089065	0.00908348951040079	0.0133616460221061	FALSE	Huntington's disease _ Prostate cancer	185 _ 333	dm	FALSE	FALSE
Ulcer	Alagille syndrome 1	569	759	diseases of the digestive system	congenital anomalies	Ulcer	Alagille syndrome	0.0350689125554761	0.0151299473777579	0.0217367263586682	FALSE	Alagille syndrome _ Ulcer	569 _ 759	dm	TRUE	TRUE
Idiopathic pulmonary fibrosis	Huntington's disease 2	516	333	diseases of the respiratory system	diseases of the nervous system and sense organs	Idiopathic pulmonary fibrosis	Huntington's disease	0.0349982926796229	0.00127692915810795	0.00202357048367087	TRUE	Huntington's disease _ Idiopathic pulmonary fibrosis	333 _ 516	dm	TRUE	TRUE
Prostate cancer	Borrelia burgdorferi infection 2	185	88	neoplasms	infectious and parasitic diseases	Prostate cancer	Borrelia burgdorferi infection	0.0343707381861246	0.00686483133574954	0.0102139138052619	FALSE	Borrelia burgdorferi infection _ Prostate cancer	88 _ 185	dm	FALSE	FALSE
Ulcerative colitis	Familial pulmonary arterial hypertension 1	556	416	diseases of the digestive system	diseases of the circulatory system	Ulcerative colitis	Familial pulmonary arterial hypertension	0.03401895224363	0.00417548858998491	0.0063451355109097	FALSE	Familial pulmonary arterial hypertension _ Ulcerative colitis	416 _ 556	dm	TRUE	TRUE
Glioblastoma	Muscular dystrophy 2	191	359	neoplasms	diseases of the nervous system and sense organs	Glioblastoma	Muscular dystrophy	0.0319028550991271	0.00290705885460059	0.00448680002142213	TRUE	Glioblastoma _ Muscular dystrophy	191 _ 359	dm	TRUE	TRUE
Ulcer	Prostate cancer 1	569	185	diseases of the digestive system	neoplasms	Ulcer	Prostate cancer	0.0316228389806236	0.0285604176031435	0.0396295844454596	TRUE	Prostate cancer _ Ulcer	185 _ 569	dm	TRUE	TRUE
Parkinson's disease	Crohn's disease 2	332	555	diseases of the nervous system and sense organs	diseases of the digestive system	Parkinson's disease	Crohn's disease	0.031413415445758	0.00103111758765095	0.00164631321382818	FALSE	Crohn's disease _ Parkinson's disease	332 _ 555	dm	FALSE	TRUE
Cardiomyopathy	Liver cancer 1	425	155	diseases of the circulatory system	neoplasms	Cardiomyopathy	Liver cancer	0.0312397347334989	0.00716667748098098	0.0106463016414283	FALSE	Cardiomyopathy _ Liver cancer	155 _ 425	dm	FALSE	FALSE
Breast cancer	Keratoconus 1	174	371	neoplasms	diseases of the nervous system and sense organs	Breast cancer	Keratoconus	0.0300166475768823	0.00566660045068281	0.00849783106300351	FALSE	Breast cancer _ Keratoconus	174 _ 371	dm	FALSE	FALSE
Friedreich's ataxia	Eosinophilic esophagitis 1	334	530	diseases of the nervous system and sense organs	diseases of the digestive system	Friedreich's ataxia	Eosinophilic esophagitis	0.0292080650880926	0.0135100260210157	0.0195439225515997	TRUE	Eosinophilic esophagitis _ Friedreich's ataxia	334 _ 530	dm	TRUE	TRUE
Autism	Crohn's disease 2	299	555	mental disorders	diseases of the digestive system	Autism	Crohn's disease	0.028853594579641	0.00633895524820254	0.0094611960193092	FALSE	Autism _ Crohn's disease	299 _ 555	dm	FALSE	TRUE
Huntington's disease	Ulcer	333	569	diseases of the nervous system and sense organs	diseases of the digestive system	Huntington's disease	Ulcer	0.028364515447839	0.0192623507334106	0.0273262278399345	TRUE	Huntington's disease _ Ulcer	333 _ 569	dd	TRUE	TRUE
Glioblastoma	Rheumatoid arthritis 1	191	714	neoplasms	diseases of the musculoskeletal system and connective tissue	Glioblastoma	Rheumatoid arthritis	0.0272217761199929	0.0106617416512135	0.0155790431387483	FALSE	Glioblastoma _ Rheumatoid arthritis	191 _ 714	dm	FALSE	FALSE
Eosinophilic esophagitis	Chronic obstructive pulmonary disease 2	530	496	diseases of the digestive system	diseases of the respiratory system	Eosinophilic esophagitis	Chronic obstructive pulmonary disease	0.0260463470088576	0.0058090584574292	0.00869981545028728	TRUE	Chronic obstructive pulmonary disease _ Eosinophilic esophagitis	496 _ 530	dm	TRUE	TRUE
Familial pulmonary arterial hypertension	Crohn's disease 2	416	555	diseases of the circulatory system	diseases of the digestive system	Familial pulmonary arterial hypertension	Crohn's disease	0.0246700802284448	0.0196405027428565	0.0278434472075621	FALSE	Crohn's disease _ Familial pulmonary arterial hypertension	416 _ 555	dm	FALSE	FALSE
Breast cancer	Human immunodeficiency virus infection 2	174	42	neoplasms	infectious and parasitic diseases	Breast cancer	Human immunodeficiency virus infection	0.0232115079326061	0.0320232643313938	0.0441233299814439	FALSE	Breast cancer _ Human immunodeficiency virus infection	42 _ 174	dm	FALSE	TRUE
NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
